name,description,eng_name
서핑,"파도를 타며 바다와 하나가 되는 수상 스포츠로, 균형감각과 파도 읽기 능력이 중요하며 자연과의 교감을 통해 큰 해방감을 느낄 수 있는 취미",Surfing
등산 트래킹,"자연 속에서 걷고 오르며 체력을 기르고 정신적 평온을 얻는 활동으로, 다양한 난이도의 코스를 통해 성취감과 자연의 아름다움을 동시에 경험할 수 있는 취미",Hiking Trekking
캠핑,"자연 속에서 하룻밤 이상 머물며 일상에서 벗어나 자연과 교감하는 활동으로, 요리부터 텐트 설치까지 다양한 기술을 익히며 힐링과 모험을 동시에 경험하는 취미",Camping
승마,"말과 교감하며 함께 달리는 귀족적인 스포츠로, 균형감각과 동물에 대한 이해가 필요하며 자연 속에서 우아함과 스릴을 동시에 느낄 수 있는 취미",Horseback Riding
러닝,"언제 어디서나 할 수 있는 가장 기본적인 유산소 운동으로, 체력 향상과 정신적 스트레스 해소에 탁월하며 목표 달성을 통한 성취감을 느낄 수 있는 취미",Running
라이딩,"자전거나 오토바이를 타고 도로나 산길을 달리는 활동으로, 속도감과 자유로움을 느끼며 새로운 장소를 탐험하고 체력도 기를 수 있는 취미",Riding
요트 보트,"바다나 호수에서 배를 조종하며 항해하는 활동으로, 바람과 물의 흐름을 읽는 기술이 필요하며 자연과의 조화 속에서 우아함과 모험을 경험하는 취미",Yacht Boat
보드 인라인,"바퀴가 달린 보드나 인라인스케이트로 활주하는 활동으로, 균형감각과 기술 연마를 통해 스타일리시한 움직임과 스릴을 동시에 경험할 수 있는 취미",Board Inline Skating
다이빙,"수중 세계를 탐험하며 바다 생물들과 만나는 활동으로, 안전 수칙과 장비 사용법을 익혀 평소 볼 수 없는 신비로운 바다 속 경험을 하는 취미",Diving
스키 스노우보드,"눈 덮인 슬로프를 미끄러져 내려오는 겨울 스포츠로, 균형감각과 기술이 필요하며 설산의 아름다운 경치와 함께 스릴 넘치는 속도감을 경험하는 취미",Ski Snowboard
낚시,"물고기를 잡으며 자연과 교감하는 정적인 활동으로, 인내심과 집중력이 필요하며 평온한 시간 속에서 스트레스를 해소하고 성취감을 느낄 수 있는 취미",Fishing
패러글라이딩,"낙하산을 이용해 하늘을 나는 익스트림 스포츠로, 바람의 흐름을 읽는 기술과 용기가 필요하며 하늘에서 내려다보는 경치와 함께 극한의 자유로움을 경험하는 취미",Paragliding
요가,"몸과 마음의 균형을 찾는 수련으로, 유연성과 집중력을 기르며 호흡과 자세를 통해 내면의 평화와 신체의 건강을 동시에 추구하는 취미",Yoga
필라테스,"코어 근육을 중심으로 한 운동법으로, 정확한 자세와 호흡이 중요하며 근력과 유연성을 동시에 기르면서 몸의 균형을 맞춰가는 취미",Pilates
헬스,"웨이트 트레이닝을 통해 근력과 체력을 기르는 운동으로, 체계적인 운동 계획과 꾸준함이 필요하며 몸의 변화를 통해 자신감과 성취감을 얻는 취미",Fitness
크로스핏,"다양한 기능성 운동을 고강도로 수행하는 피트니스 프로그램으로, 전신 근력과 심폐지구력을 동시에 기르며 한계를 극복하는 성취감을 경험하는 취미",CrossFit
홈 피트니스,"집에서 할 수 있는 운동으로, 시간과 장소의 제약 없이 체력을 기르고 건강을 관리할 수 있으며 개인의 페이스에 맞춰 꾸준히 할 수 있는 취미",Home Fitness
헤어 메이크업,"헤어스타일링과 메이크업 기술을 익히는 미용 분야로, 창의성과 섬세함이 필요하며 자신만의 스타일을 만들어가는 예술적 취미",Hair Makeup
스파 마사지,"몸의 피로를 풀고 마음의 안정을 찾는 힐링 활동으로, 전문적인 케어를 통해 스트레스를 해소하고 몸과 마음의 건강을 동시에 관리하는 취미",Spa Massage
피부관리,"피부 건강과 미용을 위한 케어 활동으로, 꾸준한 관리와 올바른 제품 사용이 중요하며 자신감 향상과 건강한 피부를 위한 투자하는 취미",Skin Care
네일 페디,"손톱과 발톱을 아름답게 꾸미는 미용 활동으로, 세밀한 작업과 디자인 감각이 필요하며 작은 부분에서도 아름다움을 창조하는 예술적 취미",Nail Pedi
왁싱,"체모 제거를 통한 미용 관리로, 전문적인 기술과 위생 관리가 중요하며 깔끔한 외모 관리를 통해 자신감을 높일 수 있는 취미",Waxing
속눈썹,"속눈썹 연장이나 퍼밍을 통해 눈매를 아름답게 꾸미는 미용 활동으로, 섬세한 기술과 미적 감각이 필요하며 얼굴 인상을 돋보이게 하는 취미",Eyelash
뷰티컨설팅,"개인의 외모와 스타일에 맞는 뷰티 조언을 제공하는 활동으로, 미용 지식과 소통 능력이 필요하며 타인의 아름다움을 발견하고 도와주는 보람있는 취미",Beauty Consulting
가죽공예,"가죽을 이용해 다양한 제품을 만드는 수공예로, 정밀한 손기술과 인내심이 필요하며 오래도록 사용할 수 있는 실용적이면서 아름다운 작품을 만드는 취미",Leather Craft
도자기공예,"흙을 빚어 그릇이나 장식품을 만드는 전통 공예로, 집중력과 손기술이 필요하며 불로 구워내는 과정을 통해 완성되는 작품에서 큰 성취감을 느끼는 취미",Pottery
플라워공예,"꽃과 식물을 이용해 장식품이나 부케를 만드는 예술 활동으로, 미적 감각과 섬세함이 필요하며 자연의 아름다움을 작품으로 표현하는 힐링되는 취미",Flower Craft
목공,"나무를 이용해 가구나 소품을 만드는 수공예로, 정교한 기술과 도구 사용법이 필요하며 실용적이면서 개성 있는 작품을 직접 만드는 성취감을 느끼는 취미",Woodworking
캔들공예,"왁스를 이용해 양초를 만드는 공예 활동으로, 향과 색깔을 조합하는 창의성이 필요하며 완성된 캔들의 따뜻한 분위기를 통해 힐링을 경험하는 취미",Candle Craft
비누공예,"천연 재료로 비누를 만드는 수제 공예로, 화학적 지식과 창의성이 필요하며 실용적이면서 개성 있는 비누를 만들어 일상에서 사용하는 취미",Soap Craft
향수만들기,"다양한 향료를 조합해 나만의 향수를 만드는 예술적 활동으로, 후각의 민감함과 조향 지식이 필요하며 개성 있는 향을 창조하는 창의적인 취미",Perfume Making
레진아트,"에폭시 레진을 이용한 투명하고 입체적인 예술 작품을 만드는 공예로, 정밀함과 창의성이 필요하며 독특하고 아름다운 작품을 만드는 현대적인 취미",Resin Art
액세서리공예,"구슬, 와이어 등을 이용해 목걸이, 팔찌 등을 만드는 수공예로, 섬세한 손기술과 디자인 감각이 필요하며 개성 있는 장신구를 직접 만드는 취미",Accessory Craft
유리공예,"유리를 가공해 예술품이나 실용품을 만드는 전문 공예로, 고온 작업과 정교한 기술이 필요하며 투명하고 아름다운 유리 작품을 창조하는 취미",Glass Craft
실공예,"털실이나 실을 이용해 뜨개질이나 자수 등을 하는 전통 공예로, 반복적인 작업을 통한 명상 효과와 함께 실용적인 작품을 만들어가는 힐링되는 취미",Thread Craft
라탄공예,"라탄(등나무)을 엮어 바구니나 가구를 만드는 전통 공예로, 손기술과 인내심이 필요하며 자연 소재로 만든 친환경적이고 실용적인 작품을 완성하는 취미",Rattan Craft
댄스,"음악에 맞춰 몸을 움직이는 예술적 표현 활동으로, 리듬감과 표현력이 필요하며 다양한 장르를 통해 감정을 표현하고 체력도 기를 수 있는 취미",Dance
클라이밍,"인공 암벽이나 자연 암벽을 오르는 스포츠로, 근력과 문제 해결 능력이 필요하며 목표 지점에 도달했을 때의 성취감과 스릴을 동시에 경험하는 취미",Climbing
실내다이빙,"수영장에서 스쿠버 장비를 이용한 다이빙 연습으로, 실제 바다 다이빙의 기초 기술을 익히며 수중에서의 특별한 경험을 안전하게 시작할 수 있는 취미",Indoor Diving
스쿼시,"네 면이 벽으로 둘러싸인 코트에서 하는 실내 라켓 스포츠로, 빠른 반사신경과 체력이 필요하며 좁은 공간에서 집중적인 운동 효과를 경험하는 취미",Squash
탁구,"작은 공을 라켓으로 주고받는 실내 스포츠로, 빠른 반사신경과 집중력이 필요하며 남녀노소 누구나 쉽게 즐길 수 있는 대중적인 취미",Table Tennis
테니스,"라켓으로 공을 주고받는 대표적인 라켓 스포츠로, 체력과 기술이 모두 필요하며 정확성과 전략적 사고를 통해 경기의 재미를 느낄 수 있는 취미",Tennis
배드민턴,"가벼운 셔틀콕을 라켓으로 주고받는 스포츠로, 빠른 움직임과 정확성이 필요하며 실내외에서 모두 즐길 수 있어 접근성이 좋은 취미",Badminton
당구,"큐로 공을 쳐서 목표구를 넣는 정밀한 스포츠로, 집중력과 계산 능력이 필요하며 정교한 기술과 전략을 통해 성취감을 느낄 수 있는 취미",Billiards
농구,"공을 골대에 넣는 팀 스포츠로, 순발력과 체력이 필요하며 팀워크와 개인 기술을 모두 기를 수 있어 다양한 재미를 경험할 수 있는 취미",Basketball
축구,"발로 공을 차서 골을 넣는 세계적인 스포츠로, 체력과 팀워크가 중요하며 경기의 스릴과 함께 동료들과의 협력을 통해 큰 재미를 느끼는 취미",Soccer
킥복싱,"발차기와 주먹을 이용한 격투 스포츠로, 전신 운동 효과가 뛰어나며 스트레스 해소와 함께 자기방어 기술을 익힐 수 있는 실용적인 취미",Kickboxing
펜싱,"검을 이용한 우아한 격투 스포츠로, 빠른 판단력과 정확성이 필요하며 예의와 품격을 중시하는 신사적인 스포츠의 매력을 경험하는 취미",Fencing
카포에라,"브라질의 전통 무술과 댄스가 결합된 예술적 격투기로, 음악과 함께 아크로바틱한 동작을 통해 몸의 유연성과 리듬감을 동시에 기르는 독특한 취미",Capoeira
복싱,"주먹을 이용한 대표적인 격투 스포츠로, 체력과 정신력을 동시에 기를 수 있으며 강인한 정신력과 함께 뛰어난 운동 효과를 경험하는 취미",Boxing
주짓수,"바닥에서 벌어지는 그래플링 중심의 무술로, 기술과 전략이 중요하며 체중이나 힘의 차이를 극복할 수 있는 효율적인 격투 기술을 배우는 취미",Jiu-Jitsu
유도,"상대를 넘어뜨리는 것이 목표인 일본 전통 무술로, 균형감각과 기술이 중요하며 예의와 정신 수양을 함께 배우는 전통적인 무도의 정신을 경험하는 취미",Judo
검도,"일본 검술의 현대적 계승으로, 정신 수양과 함께 검을 다루는 기술을 익히며 예의와 집중력을 통해 무도의 정신적 가치를 체험하는 취미",Kendo
태권도,"발차기가 특징인 한국 전통 무술로, 유연성과 순발력을 기르며 품새와 겨루기를 통해 몸과 마음을 단련하는 우리나라 대표 무도",Taekwondo
